trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",30,0,-277.87285492450025,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 5}",0
2,False,"{'a': 0.95, 'e': 0.9025}",20,0,-15.36453390147299,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",20,6,0.44036642777994306,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",30,0,-82.26974086840758,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,1,-6.423281975335367,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",25,0,-136.12016553924647,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",20,8,-52.480916542270805,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,0,-113.80933440151995,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",35,0,-114.36406319813875,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",30,0,-83.47163594552971,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",20,10,-13.410683614366295,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",20,16,4.380687327895369,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",25,6,-10.143226242871048,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,0,-20.309197835748943,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",20,14,12.729102444491847,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",25,0,-109.06470455647954,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
