trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.99961284014165,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,16,8.229065355869515,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.55202314275155,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.46192013790693,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.52824445896795,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.94140596430726,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.682396546901046,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.49478122226346,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,5,-71.47923300658277,"{0: 6, 1: 2, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.09482123453067,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.47840048698102,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-116.22771208759781,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-66.64682178698664,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,8,-72.36802297631513,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.0536102717954,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.13502092458239,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.54543175263677,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,11,-57.48633296215446,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.33387372713239,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.41324860230708,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.88866680598636,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.19876193061603,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.90899277073414,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.4819068647869,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.27086993932107,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-230.29542100568494,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.6504949414134,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.42996687030748,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,3,-187.3331296015669,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-78.24049687220948,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",1
